feature,importance
PT08.S2(NMHC)_lag2_r3_mean,4.299657344818115
RH_lag6_r6_mean,4.2854437828063965
PT08.S1(CO)_lag1,4.285286903381348
PT08.S3(NOx)_lag3_r24_mean,4.284162521362305
NMHC(GT)_lag12_r24_mean,4.27332878112793
NMHC(GT)_lag12,4.267657279968262
C6H6(GT)_r6_std,4.2546539306640625
PT08.S3(NOx)_lag12_r6_mean,4.254648208618164
CO(GT)_lag2_r24_mean,4.25425386428833
C6H6(GT)_lag6_r12_mean,4.248908996582031
PT08.S2(NMHC)_r6_mean,4.241258144378662
PT08.S3(NOx)_lag6_r12_mean,4.237948894500732
PT08.S4(NO2)_lag1_r24_mean,4.237919330596924
RH_lag24_r24_mean,4.237616539001465
PT08.S2(NMHC)_lag12_r24_mean,4.235949993133545
AH_r24_mean,4.234014987945557
PT08.S4(NO2)_lag1_r6_std,4.229709148406982
NOx(GT)_lag3_r24_std,4.226649284362793
NO2(GT)_lag6_r24_std,4.223682880401611
AH_lag12_r12_mean,4.218240261077881
CO(GT)_lag1_r12_mean,4.210938930511475
NMHC(GT)_lag24_r6_std,4.2075276374816895
AH_lag3_r24_std,4.195547103881836
C6H6(GT)_lag24_r12_mean,4.190049648284912
T_lag12_r6_mean,4.189968109130859
C6H6(GT)_lag12_r24_mean,4.184831619262695
NOx(GT)_lag2_r6_mean,4.178798198699951
CO(GT)_lag1_r6_std,4.172823429107666
PT08.S1(CO)_lag12_r24_mean,4.169922828674316
PT08.S2(NMHC)_lag6_r12_std,4.1682024002075195
NMHC(GT)_lag12_r6_std,4.161426544189453
T_r24_std,4.157388687133789
AH_lag6_r12_mean,4.156116485595703
PT08.S5(O3)_r24_std,4.148550033569336
T_lag1_r24_std,4.148076057434082
C6H6(GT)_lag6_r3_mean,4.143941879272461
C6H6(GT)_lag2_r12_std,4.136353969573975
PT08.S2(NMHC)_r6_std,4.135128021240234
CO(GT)_lag6_r3_mean,4.1339497566223145
RH_lag1_r24_std,4.118905067443848
RH_lag2_r24_std,4.118032455444336
NOx(GT)_r3_std,4.115352153778076
NMHC(GT)_r24_std,4.108449459075928
PT08.S3(NOx)_r6_mean,4.107406139373779
PT08.S1(CO)_lag24_r12_mean,4.102678298950195
